Layer #,Layer Name,Control Group,Control,Description,Component (Rust/K8s/Web3),Policy/Config Artifact,Test Category,Metric/KPI,Evidence to Store
14,Protocol/API Security,Contracts,OpenAPI/GraphQL/gRPC,"Versioned, reviewed contracts",api/*,api/openapi.yaml,Contract Tests,Breaking changes caught,"Schema diffs, approvals"
14,Protocol/API Security,Pagination & ETags,DoS-safe patterns,Limit page sizes; conditional requests,Axum extractors,crates/http/,Load Tests,% endpoints with limits,Endpoint catalog
14,Protocol/API Security,Query Costing,Cost Limits/Complexity,GraphQL cost/Depth limits; SQL guards,graphql rules; SQL guards,api/graphql/policy.json,Abuse Tests,Rejected costly queries,"Policy files, logs"
14,Protocol/API Security,Schema Diffs,Automated Drift Detection,PR-time diff & changelogs,CI job,ci/schema-diff.yaml,CI Tests,# drift incidents,Diff reports
15,Messaging & Event Security,AuthN/Z,NATS/JetStream ACLs,Per-subject tokens/permissions,nats server config,nats/auth.conf,AuthZ Tests,Denied unauthorized subs/pubs,Broker logs
15,Messaging & Event Security,Idempotency,Idempotency Keys & Dedupe,Handle retries safely,JetStream KV/Sequence,crates/idempotency/,Chaos/Retry Tests,Duplication rate,Idempotency tables/logs
15,Messaging & Event Security,Replay Protection,Nonces/Timestamps,Reject stale messages,middleware,crates/middleware/,Security Tests,Replay reject count,Timestamp checks
15,Messaging & Event Security,Encryption,At-rest & in-transit,mTLS + payload encryption if required,nkey/JWT,nats/nkey/,Crypto Tests,Encrypted subjects ratio,"Config, key materials"
16,Database Security,RBAC,DB Roles & Least Privilege,"Per-service roles, read vs write separation",SQL migrations,db/migrations/roles.sql,Privilege Tests,# superuser grants (0),"Role grants, audit"
16,Database Security,RLS/CLS,Row/Column-level Security,Policies per tenant/user,"Postgres RLS, MySQL views",db/rls.sql,Policy Tests,% tables with RLS,"RLS policies, tests"
16,Database Security,TLS & Audit,Encrypted Links & Audit,TLS required; audit logs shipped,db configs,db/postgresql.conf,Config Tests,% TLS connections; audit volume,"TLS params, audit logs"
16,Database Security,Backups/Restore,Encrypted Backups,Hot/cold backups with drills,pgbackrest/xbstream,backup/,DR Tests,RPO/RTO achieved,Restore test logs
17,Wallet/Custody & Key Ops (Web3),Tiers,Hot/Warm/Cold Segregation,Withdrawals via tiered paths,Custody service,custody/policy.yaml,Flow Tests,% volume via hot; risk caps,Approval logs
17,Wallet/Custody & Key Ops (Web3),MPC/Multi-sig,Threshold Signing,Split signing across parties/devices,MPC engine,custody/mpc/,Crypto Tests,Signer availability; quorum success,Sig transcripts
17,Wallet/Custody & Key Ops (Web3),Withdrawal Policy,Velocity/Cooldowns,"Per-user limits, cooling periods",policy engine,policies/withdrawal.yaml,Abuse Tests,Fraud catches; false positives,Policy decisions
17,Wallet/Custody & Key Ops (Web3),Address Mgmt,Allow/Block Lists,"Sanctions, scam list checks",screening service,custody/screen.yaml,Compliance Tests,# blocked withdrawals,"Screen results, proofs"
18,Oracle & Market Data Integrity (Web3),Aggregation,TWAP/Medianizers,Robust aggregation of prices,oracle service,oracle/aggregator.yaml,Model Tests,Deviation vs spot,"TWAP windows, charts"
18,Oracle & Market Data Integrity (Web3),Heartbeat/Staleness,Max Age Policies,Reject stale feeds,staleness guards,oracle/heartbeat.yaml,Staleness Tests,% updates within SLA,"Timestamps, alarms"
18,Oracle & Market Data Integrity (Web3),Deviation Guards,Max % Change,Pause or circuit on spikes,risk engine,oracle/deviation.yaml,Chaos/Spike Tests,# deviations triggered,Guard events
18,Oracle & Market Data Integrity (Web3),Quorum,Cross-source Voting,Min N-of-M sources to accept,quorum config,oracle/quorum.yaml,Byzantine Tests,# times quorum failed,Quorum decisions
19,Privacy & Compliance,Minimization,Collect-Only-What-Needed,PIA reviews for new data,PIA templates,privacy/PIA.md,PIA Tests,PIA coverage ratio,PIA records
19,Privacy & Compliance,DSR Flows,Access/Delete/Export,Authenticated self-serve portal,privacy service,privacy/dsr.yaml,Functional Tests,DSR SLA met,"DSR tickets, proofs"
19,Privacy & Compliance,Retention,Time-bound Deletion,TTL-based auto-delete,db TTL jobs,data/retention.yaml,Retention Tests,% data beyond TTL (0),Deletion logs
19,Privacy & Compliance,Regionalization,Data Residency,Store/process in-region,Geo shards,infra/geo/,Geo Tests,Cross-region accesses blocked,"Region maps, configs"
20,Observability & Telemetry Security,Structured Logging,PII Scrubbing,No secrets/PII; redaction,OTel processors,otel/redaction.yaml,Log Tests,Redaction hit/miss,"Processor configs, samples"
20,Observability & Telemetry Security,Metrics/Traces Access,RBAC on Observability,Limit who can see raw traces,Grafana/Tempo perms,observability/rbac.yaml,Access Tests,# unauthorized attempts,Audit logs
20,Observability & Telemetry Security,Tamper Evidence,Immutable Logs,WORM storage or hash-chains,Loki object store,observability/tamper.yaml,Integrity Tests,Hash-chain breaks (0),"Hashes, receipts"
20,Observability & Telemetry Security,Trace Sampling,Dynamic Sampling,Protect cost & privacy,collector rules,otel/sampling.yaml,Perf Tests,Sampling % adherence,"Rules, dashboards"
21,Detection & Response,Use Cases,SIEM Rules & Detections,Mapped to ATT&CK and env specifics,Sigma rules,siem/rules/,Detection QA,True/false positive rates,"Rule packs, test results"
21,Detection & Response,Anomaly Models,UEBA/Anomaly,"Behavioral baselines, alerts",ML jobs,siem/ueba/,Model Tests,Alert precision/recall,Model evals
21,Detection & Response,Runbooks,IR Runbooks & On-call,Per alert type playbooks,docs/runbooks/,docs/runbooks/*,Drill Tests,MTTD/MTTR,"Drill notes, timelines"
21,Detection & Response,Forensics,Acquisition & Chain of Custody,"Disk/mem capture, legal hold",Forensics kits,ir/forensics/,Forensic Drills,Case completeness,Evidence manifests
22,"Resilience, Availability & Chaos",Rate Limiters,Backpressure & Quotas,Protect shared resources,leaky-bucket libs,crates/ratelimit/,Soak/Stress Tests,Shed load %,"Config, graphs"
22,"Resilience, Availability & Chaos",Circuit Breakers,Fail-Fast,Trip on dependency failures,tower::limit/middleware,crates/circuit/,Chaos/Latency Tests,Trip frequency; recovery time,Breaker state logs
22,"Resilience, Availability & Chaos",Bulkheads,Isolate Pools,Isolate threads/connections,tokio pools,crates/bulkhead/,Stress Tests,Blast radius size,Pool configs
22,"Resilience, Availability & Chaos",DR/BCP,Disaster Recovery,"Multi-region, restore, exercises",runbooks/dr/,docs/dr/PLAN.md,DR Drills,RPO/RTO met,Exercise reports
